topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
5.0,25,0.05,3228.106233487299
5.0,25,0.1,2782.1665715873055
5.0,25,0.5,2334.1708722596954
5.0,25,1.0,2394.4687589867185
5.0,25,5.0,3387.5977746741155
5.0,25,10.0,3650.8764702382264
5.0,30,,4415.5868739636735
5.0,30,0.05,3897.7720884934715
5.0,30,0.1,3308.278790046442
5.0,30,0.5,2627.5826925112538
5.0,30,1.0,2634.3989195182467
5.0,30,5.0,3609.88652674798
5.0,30,10.0,3985.3792862413247
5.0,35,,5473.87432247896
5.0,35,0.05,4530.796927248475
5.0,35,0.1,3810.851544074924
5.0,35,0.5,2884.431802271857
5.0,35,1.0,2852.2057515341507
5.0,35,5.0,3787.3811120768382
5.0,35,10.0,4093.1630881431433
5.0,40,,6626.553716958164
5.0,40,0.05,5146.450717843252
5.0,40,0.1,4300.776688565659
5.0,40,0.5,3133.986828634207
5.0,40,1.0,3057.9660380059995
5.0,40,5.0,3931.526908927429
5.0,40,10.0,4164.24579027365
5.0,45,,7870.451068702149
5.0,45,0.05,5746.947714122101
5.0,45,0.1,4780.483516574217
5.0,45,0.5,3373.4781040623902
5.0,45,1.0,3254.280700831337
5.0,45,5.0,4049.718944180508
5.0,45,10.0,4214.356240531093
5.0,50,,9195.375208006004
5.0,50,0.05,6331.6334661391975
5.0,50,0.1,5251.895543058497
5.0,50,0.5,3605.6188721498356
5.0,50,1.0,3441.888442978884
5.0,50,5.0,4147.382532928685
5.0,50,10.0,4250.128781831372
10.0,3,,1135.9013552677886
10.0,3,0.05,1222.9151494244252
10.0,3,0.1,1177.3785240565978
10.0,3,0.5,1136.4342919280327
10.0,3,1.0,1162.8916205157736
10.0,3,5.0,1470.3254784264168
10.0,3,10.0,1803.9895076092857
10.0,5,,1253.7640101102727
10.0,5,0.05,1377.692591511759
10.0,5,0.1,1302.0059013401383
10.0,5,0.5,1241.1094712853032
10.0,5,1.0,1286.3873025841854
10.0,5,5.0,1753.4361325091857
10.0,5,10.0,2177.532403236187
10.0,7,,1418.4159674608193
10.0,7,0.05,1580.2721038972159
10.0,7,0.1,1462.520485522355
10.0,7,0.5,1359.7123416116858
10.0,7,1.0,1413.7106300741584
10.0,7,5.0,1996.1594518472975
10.0,7,10.0,2494.9794320262326
10.0,9,,1647.7320491914936
10.0,9,0.05,1842.7071090763395
10.0,9,0.1,1668.736255934212
10.0,9,0.5,1497.047437338473
